id,name,voltage_kv,cables,operator,capacity_mw,start_lon,start_lat,end_lon,end_lat,length_km
338834950,Line_338834950,132.0,unknown,unknown,300,11.4609353,44.4842406,11.4611176,44.4842721,0.06
338834951,Line_338834951,380.0,3,unknown,1500,11.4617048,44.4841376,11.462465,44.4838507,0.07
338834952,Colunga,132.0,3,unknown,300,11.4610363,44.4832761,11.4603835,44.483539,0.06
338839370,Colunga,380.0,3,unknown,1500,11.4618005,44.4834196,11.4619124,44.4831525,0.11
338839373,Line_338839373,220.0,unknown,unknown,700,11.4609807,44.4822475,11.4603416,44.4824934,0.06
338839378,Line_338839378,220.0,3,unknown,700,11.4605006,44.4830458,11.4607651,44.4829404,0.02
338839387,Colunga,220.0,3,unknown,700,11.460752,44.4819556,11.4610382,44.4823208,0.05
338839390,Line_338839390,132.0,3,unknown,300,11.4596093,44.4825527,11.4597477,44.4827319,0.02
338839395,Line_338839395,132.0,3,unknown,300,11.4594779,44.4826063,11.4596107,44.4827891,0.02
338847610,Line_338847610,150.0,3,unknown,300,12.8523462,37.6948194,12.8539528,37.6946241,0.14
338847619,Line_338847619,220.0,6,unknown,700,12.8535568,37.6971757,13.0555693,38.0031076,38.88
338847626,Line_338847626,220.0,3,unknown,700,12.8528183,37.6956917,12.8540762,37.6955304,0.11
338847633,Line_338847633,220.0,3,unknown,700,12.8534301,37.6957587,12.8533332,37.6953691,0.04
338847639,Line_338847639,220.0,3,unknown,700,12.8535269,37.6956008,12.8536149,37.6959952,0.04
338847641,Line_338847641,150.0,3,unknown,300,12.8539394,37.6945286,12.8523381,37.6947281,0.14
338847642,Line_338847642,150.0,3,unknown,300,12.8531407,37.6953165,12.8530176,37.6946435,0.08
338847643,Line_338847643,220.0,3,unknown,700,12.8528424,37.6958318,12.8541057,37.6956747,0.11
338847652,Line_338847652,220.0,3,unknown,700,12.8538543,37.695706,12.8537621,37.6952419,0.05
338847658,Line_338847658,220.0,3,unknown,700,12.8532393,37.6957824,12.8531407,37.6953165,0.05
338850174,Line_338850174,150.0,3,unknown,300,13.056457,38.0046826,13.0564732,38.0051382,0.05
338850175,Line_338850175,150.0,3,unknown,300,13.0566822,38.0051306,13.0561565,38.0051497,0.05
338850176,Line_338850176,220.0,3,unknown,700,13.0552169,38.0042288,13.0574774,38.004214,0.2
338850178,Line_338850178,220.0,3,unknown,700,13.0554968,38.0047059,13.0554775,38.0042271,0.05
338850179,Ciminna-Partinico,220.0,3,unknown,700,13.056809,38.0028424,13.0565892,38.003966,0.13
338850180,Line_338850180,220.0,3,unknown,700,13.0569288,38.0042176,13.0569519,38.0046071,0.04
338850182,Line_338850182,220.0,3,unknown,700,13.0552216,38.0043763,13.0574842,38.004355,0.2
338850183,Line_338850183,220.0,6,unknown,700,13.056809,38.0028424,13.5148759,37.8706454,49.14
338850186,Line_338850186,220.0,3,unknown,700,13.0572235,38.0042157,13.0572349,38.0045988,0.04
338850188,Line_338850188,220.0,3,unknown,700,13.0564389,38.0042208,13.056457,38.0046826,0.05
338852154,Partanna-Partinico,220.0,3,unknown,700,13.0555693,38.0031076,13.0560869,38.0039683,0.11
338853916,Line_338853916,220.0,3,unknown,700,13.6447949,37.367091,13.643773,37.3684083,0.17
338853917,Line_338853917,150.0,3,unknown,300,13.6427154,37.3681343,13.6435066,37.3671324,0.13
338853918,Line_338853918,150.0,3,unknown,300,13.6436032,37.368064,13.6430101,37.3677611,0.06
338853919,Line_338853919,220.0,3,unknown,700,13.6449363,37.3671623,13.6439071,37.3684766,0.17
338853921,Line_338853921,220.0,3,unknown,700,13.6439331,37.3676419,13.6443862,37.3678648,0.05
338853922,Line_338853922,220.0,3,unknown,700,13.6438316,37.3683328,13.6442145,37.3685335,0.04
338853923,Line_338853923,220.0,3,unknown,700,13.6436032,37.368064,13.6440557,37.3682868,0.05
338853925,Favara-Cattolica Eraclea,220.0,3,unknown,700,13.6447827,37.3686998,13.6443848,37.3683167,0.06
338853927,Line_338853927,150.0,3,unknown,300,13.642812,37.3681897,13.6436086,37.3671793,0.13
338853931,Chiaramonte Gulfi-Favara,220.0,3,unknown,700,13.6454525,37.3681287,13.6447303,37.3678918,0.07
338853932,Line_338853932,150.0,3,unknown,300,13.6433393,37.3673443,13.6439331,37.3676419,0.06
338856344,Line_338856344,220.0,3,unknown,700,14.6413635,37.0785357,14.6425061,37.0784672,0.1
338856346,Line_338856346,380.0,3,unknown,1500,14.6414647,37.079409,14.6439534,37.0792443,0.22
338856348,Line_338856348,220.0,6,unknown,700,13.6454525,37.3681287,14.6414154,37.0776376,103.8
338856353,Line_338856353,220.0,3,unknown,700,14.6417311,37.0783856,14.6417963,37.0789359,0.06
