time,CALA,CNOR,CSUD,NORD,SARD,SICI,SUD
2013-10-21 04:00:00,1167.4571573957699,3561.859734984546,4729.316892380315,15221.559243242935,1100.5328617488785,2424.146708987394,3130.56982970458
2013-10-21 05:00:00,1264.6310909393483,3858.333073630241,5122.964164569589,16488.534032820677,1192.1363150256277,2625.9218830969903,3391.1445177418195
2013-10-21 06:00:00,1367.5545791088775,4172.348047090141,5539.902626199019,17830.47276073804,1289.1597306249291,2839.6356228630193,3667.1368013046967
2013-10-21 07:00:00,1467.6110781524994,4477.61596455444,5945.22704270694,19135.0310635552,1383.480506793439,3047.3962514504124,3935.441171351607
2013-10-21 08:00:00,1513.2626218923392,4616.896789085544,6130.159410977883,19730.245777156804,1426.5150830577466,3142.1886288974683,4057.857094373725
2013-10-21 09:00:00,1516.348957008136,4626.313059916542,6142.662016924678,19770.48608277487,1429.424494504485,3148.5971973544733,4066.1331904485687
2013-10-21 10:00:00,1512.4250725945055,4614.3414635208155,6126.76653611532,19719.325628031547,1425.7255461400434,3140.44951379496,4055.6111819253933
2013-10-21 11:00:00,1510.0697205447448,4607.155389432692,6117.225109977437,19688.616037930526,1423.505214271479,3135.5587827871764,4049.2952378938694
2013-10-21 12:00:00,1510.0697205447448,4607.155389432692,6117.225109977437,19688.616037930526,1423.505214271479,3135.5587827871764,4049.2952378938694
2013-10-21 13:00:00,1507.130637490457,4598.18837807598,6105.319015566437,19650.295636579398,1420.7346136852716,3129.4559733878277,4041.414002442563
2013-10-21 14:00:00,1504.709575272207,4590.801825193549,6095.511400465755,19618.729303071388,1418.4523384731633,3124.4287996098055,4034.921854710823
2013-10-21 15:00:00,1503.7082612539436,4587.746860768401,6091.455122022345,19605.673954056198,1417.508424621552,3122.3496380177426,4032.236802470766
2013-10-21 16:00:00,1507.8132742149105,4600.271072286256,6108.084346501166,19659.19600202498,1421.378118368196,3130.873422892107,4043.2445123852062
2013-10-21 17:00:00,1507.8132742149105,4600.271072286256,6108.084346501166,19659.19600202498,1421.378118368196,3130.873422892107,4043.2445123852062
2013-10-21 18:00:00,1513.833925844276,4618.639811970753,6132.4737378150285,19737.694561804034,1427.0536371016105,3143.374903345439,4059.3890622957974
2013-10-21 19:00:00,1509.8378623854665,4606.448000526359,6116.2858629118255,19685.593021038534,1423.2866473442614,3135.0773448258724,4048.6735035941488
2013-10-21 20:00:00,1479.6857471962658,4514.455241445932,5994.140988642197,19292.463213444305,1394.8629973569896,3072.4684941782334,3967.8197424817067
2013-10-21 21:00:00,1416.2275138472125,4320.8470008459535,5737.074514693166,18465.081024492,1335.0424971298564,2940.7017166508995,3797.654670889659
2013-10-21 22:00:00,1249.0313948000048,3810.7390962369573,5059.770491036962,16285.14181627777,1177.430868983444,2593.530157355424,3349.313485419121
2013-10-21 23:00:00,1179.0147418882823,3597.1214099648864,4776.1361518531685,15372.2495327727,1111.4279095507375,2448.145260226624,3161.5618237895974
2013-10-22 00:00:00,1129.4622952704235,3445.939104678553,4575.401399948976,14726.174002665968,1064.7160490447304,2345.252918841771,3028.6855178907535
2013-10-22 01:00:00,1113.3785398976677,3396.868284146387,4510.246824044054,14516.470517009717,1049.5542923876103,2311.8560764754116,2985.5564668593506
2013-10-22 02:00:00,1113.3785398976677,3396.868284146387,4510.246824044054,14516.470517009717,1049.5542923876103,2311.8560764754116,2985.5564668593506
2013-10-22 03:00:00,1115.8482889246936,3404.4033783116447,4520.251667236338,14548.67163967419,1051.8824634449343,2316.984345155733,2992.179169664306
2013-10-22 04:00:00,1167.4571573957699,3561.859734984546,4729.316892380315,15221.559243242935,1100.5328617488785,2424.146708987394,3130.56982970458
2013-10-22 05:00:00,1264.6310909393483,3858.333073630241,5122.964164569589,16488.534032820677,1192.1363150256277,2625.9218830969903,3391.1445177418195
2013-10-22 06:00:00,1367.5545791088775,4172.348047090141,5539.902626199019,17830.47276073804,1289.1597306249291,2839.6356228630193,3667.1368013046967
2013-10-22 07:00:00,1463.7013231274298,4465.687476293241,5929.388799420671,19084.054830839803,1379.794877852609,3039.277906621287,3924.9570511888405
2013-10-22 08:00:00,1513.2626218923392,4616.896789085544,6130.159410977883,19730.245777156804,1426.5150830577466,3142.1886288974683,4057.857094373725
2013-10-22 09:00:00,1512.4250725945055,4614.3414635208155,6126.76653611532,19719.325628031547,1425.7255461400434,3140.44951379496,4055.6111819253933
2013-10-22 10:00:00,1512.4250725945055,4614.3414635208155,6126.76653611532,19719.325628031547,1425.7255461400434,3140.44951379496,4055.6111819253933
2013-10-22 11:00:00,1510.0697205447448,4607.155389432692,6117.225109977437,19688.616037930526,1423.505214271479,3135.5587827871764,4049.2952378938694
2013-10-22 12:00:00,1510.0697205447448,4607.155389432692,6117.225109977437,19688.616037930526,1423.505214271479,3135.5587827871764,4049.2952378938694
2013-10-22 13:00:00,1507.130637490457,4598.18837807598,6105.319015566437,19650.295636579398,1420.7346136852716,3129.4559733878277,4041.414002442563
2013-10-22 14:00:00,1504.709575272207,4590.801825193549,6095.511400465755,19618.729303071388,1418.4523384731633,3124.4287996098055,4034.921854710823
2013-10-22 15:00:00,1503.7082612539436,4587.746860768401,6091.455122022345,19605.673954056198,1417.508424621552,3122.3496380177426,4032.236802470766
2013-10-22 16:00:00,1507.8132742149105,4600.271072286256,6108.084346501166,19659.19600202498,1421.378118368196,3130.873422892107,4043.2445123852062
2013-10-22 17:00:00,1507.8132742149105,4600.271072286256,6108.084346501166,19659.19600202498,1421.378118368196,3130.873422892107,4043.2445123852062
2013-10-22 18:00:00,1513.833925844276,4618.639811970753,6132.4737378150285,19737.694561804034,1427.0536371016105,3143.374903345439,4059.3890622957974
2013-10-22 19:00:00,1509.8378623854665,4606.448000526359,6116.2858629118255,19685.593021038534,1423.2866473442614,3135.0773448258724,4048.6735035941488
2013-10-22 20:00:00,1480.0944780629527,4515.702261096524,5995.796739159477,19297.792334999132,1395.248297791828,3073.3171964874045,3968.915766015943
2013-10-22 21:00:00,1416.6362447138993,4322.094020496545,5738.7302652104445,18470.410146046826,1335.4277975646949,2941.5504189600706,3798.7506944238953
2013-10-22 22:00:00,1249.0313948000048,3810.7390962369573,5059.770491036962,16285.14181627777,1177.430868983444,2593.530157355424,3349.313485419121
2013-10-22 23:00:00,1179.0147418882823,3597.1214099648864,4776.1361518531685,15372.2495327727,1111.4279095507375,2448.145260226624,3161.5618237895974
2013-10-23 00:00:00,1129.4622952704235,3445.939104678553,4575.401399948976,14726.174002665968,1064.7160490447304,2345.252918841771,3028.6855178907535
2013-10-23 01:00:00,1113.3785398976677,3396.868284146387,4510.246824044054,14516.470517009717,1049.5542923876103,2311.8560764754116,2985.5564668593506
2013-10-23 02:00:00,1113.3785398976677,3396.868284146387,4510.246824044054,14516.470517009717,1049.5542923876103,2311.8560764754116,2985.5564668593506
2013-10-23 03:00:00,1115.8482889246936,3404.4033783116447,4520.251667236338,14548.67163967419,1051.8824634449343,2316.984345155733,2992.179169664306
2013-10-23 04:00:00,1167.4571573957699,3561.859734984546,4729.316892380315,15221.559243242935,1100.5328617488785,2424.146708987394,3130.56982970458
2013-10-23 05:00:00,1264.6310909393483,3858.333073630241,5122.964164569589,16488.534032820677,1192.1363150256277,2625.9218830969903,3391.1445177418195
2013-10-23 06:00:00,1367.5545791088775,4172.348047090141,5539.902626199019,17830.47276073804,1289.1597306249291,2839.6356228630193,3667.1368013046967
2013-10-23 07:00:00,1463.7013231274298,4465.687476293241,5929.388799420671,19084.054830839803,1379.794877852609,3039.277906621287,3924.9570511888405
2013-10-23 08:00:00,1513.2626218923392,4616.896789085544,6130.159410977883,19730.245777156804,1426.5150830577466,3142.1886288974683,4057.857094373725
2013-10-23 09:00:00,1512.4250725945055,4614.3414635208155,6126.76653611532,19719.325628031547,1425.7255461400434,3140.44951379496,4055.6111819253933
2013-10-23 10:00:00,1512.4250725945055,4614.3414635208155,6126.76653611532,19719.325628031547,1425.7255461400434,3140.44951379496,4055.6111819253933
2013-10-23 11:00:00,1510.0697205447448,4607.155389432692,6117.225109977437,19688.616037930526,1423.505214271479,3135.5587827871764,4049.2952378938694
2013-10-23 12:00:00,1510.0697205447448,4607.155389432692,6117.225109977437,19688.616037930526,1423.505214271479,3135.5587827871764,4049.2952378938694
2013-10-23 13:00:00,1507.130637490457,4598.18837807598,6105.319015566437,19650.295636579398,1420.7346136852716,3129.4559733878277,4041.414002442563
2013-10-23 14:00:00,1504.709575272207,4590.801825193549,6095.511400465755,19618.729303071388,1418.4523384731633,3124.4287996098055,4034.921854710823
2013-10-23 15:00:00,1503.7082612539436,4587.746860768401,6091.455122022345,19605.673954056198,1417.508424621552,3122.3496380177426,4032.236802470766
2013-10-23 16:00:00,1507.8132742149105,4600.271072286256,6108.084346501166,19659.19600202498,1421.378118368196,3130.873422892107,4043.2445123852062
2013-10-23 17:00:00,1507.8132742149105,4600.271072286256,6108.084346501166,19659.19600202498,1421.378118368196,3130.873422892107,4043.2445123852062
2013-10-23 18:00:00,1513.833925844276,4618.639811970753,6132.4737378150285,19737.694561804034,1427.0536371016105,3143.374903345439,4059.3890622957974
2013-10-23 19:00:00,1509.8378623854665,4606.448000526359,6116.2858629118255,19685.593021038534,1423.2866473442614,3135.0773448258724,4048.6735035941488
2013-10-23 20:00:00,1480.0944780629527,4515.702261096524,5995.796739159477,19297.792334999132,1395.248297791828,3073.3171964874045,3968.915766015943
2013-10-23 21:00:00,1416.6362447138993,4322.094020496545,5738.7302652104445,18470.410146046826,1335.4277975646949,2941.5504189600706,3798.7506944238953
