flowdate,market,hour,period,from,to,maxtransmissionlimitfrom,maxtransmissionlimitto,coefficient
20251220,MGP,3,10,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,3,10,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,3,10,CNOR,CSUD,2042.0000,2905.0000,0.0000
20251220,MGP,3,10,CNOR,NORD,4531.0000,3358.0000,0.0000
20251220,MGP,3,10,CALA,SICI,1618.0000,1494.0000,0.0000
20251220,MGP,3,10,CALA,SUD,2350.0000,1646.0000,0.0000
20251220,MGP,3,10,BSP,COUP,649.0000,680.0000,0.0000
20251220,MGP,3,10,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,11,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,11,BSP,COUP,649.0000,680.0000,0.0000
20251220,MGP,3,11,CALA,SICI,1618.0000,1494.0000,0.0000
20251220,MGP,3,11,CALA,SUD,2350.0000,1646.0000,0.0000
20251220,MGP,3,11,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,3,11,CNOR,CSUD,2042.0000,2905.0000,0.0000
20251220,MGP,3,11,CNOR,NORD,4531.0000,3358.0000,0.0000
20251220,MGP,3,11,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,3,11,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,3,11,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,11,COUP,XAUS,165.0000,365.0000,0.0000
20251220,MGP,3,11,COUP,XFRA,2160.0000,4192.0000,0.0000
20251220,MGP,3,11,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,3,11,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,3,11,CSUD,SUD,2400.0000,5598.0000,0.0000
20251220,MGP,3,11,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,11,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,3,11,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,3,11,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,3,11,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,3,11,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,3,12,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,3,12,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,3,12,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,3,12,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,3,12,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,3,12,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,12,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,3,12,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,3,12,CSUD,SUD,2400.0000,5598.0000,0.0000
20251220,MGP,3,12,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,12,COUP,XAUS,165.0000,365.0000,0.0000
20251220,MGP,3,12,COUP,XFRA,2160.0000,4192.0000,0.0000
20251220,MGP,3,12,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,3,12,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,3,12,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,3,12,CNOR,CSUD,2042.0000,2905.0000,0.0000
20251220,MGP,3,12,CNOR,NORD,4531.0000,3358.0000,0.0000
20251220,MGP,3,12,CALA,SICI,1618.0000,1494.0000,0.0000
20251220,MGP,3,12,CALA,SUD,2350.0000,1646.0000,0.0000
20251220,MGP,3,12,BSP,COUP,649.0000,680.0000,0.0000
20251220,MGP,3,12,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,13,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,13,BSP,COUP,592.0000,680.0000,0.0000
20251220,MGP,4,13,CALA,SICI,1618.0000,1494.0000,0.0000
20251220,MGP,4,13,CALA,SUD,2350.0000,1646.0000,0.0000
20251220,MGP,4,13,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,4,13,CNOR,CSUD,2042.0000,2905.0000,0.0000
20251220,MGP,4,13,CNOR,NORD,4531.0000,3358.0000,0.0000
20251220,MGP,4,13,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,4,13,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,4,13,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,13,COUP,XAUS,165.0000,337.0000,0.0000
20251220,MGP,4,13,COUP,XFRA,2160.0000,3826.0000,0.0000
20251220,MGP,4,13,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,4,13,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,4,13,CSUD,SUD,2400.0000,5598.0000,0.0000
20251220,MGP,4,13,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,13,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,4,13,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,4,13,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,4,13,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,4,13,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,4,14,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,4,14,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,4,14,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,4,14,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,4,14,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,4,14,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,14,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,4,14,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,4,14,CSUD,SUD,2400.0000,5598.0000,0.0000
20251220,MGP,4,14,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,14,COUP,XAUS,165.0000,337.0000,0.0000
20251220,MGP,4,14,COUP,XFRA,2160.0000,3826.0000,0.0000
20251220,MGP,4,14,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,4,14,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,4,14,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,4,14,CNOR,CSUD,2042.0000,2905.0000,0.0000
20251220,MGP,4,14,CNOR,NORD,4531.0000,3358.0000,0.0000
20251220,MGP,4,14,CALA,SICI,1618.0000,1494.0000,0.0000
20251220,MGP,4,14,CALA,SUD,2350.0000,1646.0000,0.0000
20251220,MGP,4,14,BSP,COUP,592.0000,680.0000,0.0000
20251220,MGP,4,14,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,15,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,15,BSP,COUP,592.0000,680.0000,0.0000
20251220,MGP,4,15,CALA,SICI,1618.0000,1494.0000,0.0000
20251220,MGP,4,15,CALA,SUD,2350.0000,1646.0000,0.0000
20251220,MGP,4,15,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,4,15,CNOR,CSUD,2042.0000,2905.0000,0.0000
20251220,MGP,4,15,CNOR,NORD,4531.0000,3358.0000,0.0000
20251220,MGP,4,15,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,4,15,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,4,15,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,15,COUP,XAUS,165.0000,337.0000,0.0000
20251220,MGP,4,15,COUP,XFRA,2160.0000,3826.0000,0.0000
20251220,MGP,4,15,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,4,15,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,4,15,CSUD,SUD,2400.0000,5598.0000,0.0000
20251220,MGP,4,15,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,15,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,4,15,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,4,15,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,4,15,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,4,15,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,4,16,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,4,16,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,4,16,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,4,16,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,4,16,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,4,16,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,16,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,4,16,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,4,16,CSUD,SUD,2400.0000,5598.0000,0.0000
