flowdate,hour,period,market,from,to,transit
20251230,3,11,MGP,NORD,SLOV,0.0000
20251230,3,11,MGP,NORD,SVIZ,-824.0000
20251230,3,11,MGP,SARD,COAC,94.0000
20251230,3,11,MGP,SARD,CORS,40.0000
20251230,3,11,MGP,SICI,MALT,86.0000
20251230,3,11,MGP,SUD,GREC,0.0000
20251230,3,11,MGP,SUD,XGRE,-500.0000
20251230,3,12,MGP,SUD,XGRE,-500.0000
20251230,3,12,MGP,SUD,GREC,0.0000
20251230,3,12,MGP,SICI,MALT,84.0000
20251230,3,12,MGP,SARD,CORS,40.0000
20251230,3,12,MGP,SARD,COAC,94.0000
20251230,3,12,MGP,NORD,SVIZ,-823.0000
20251230,3,12,MGP,NORD,SLOV,0.0000
20251230,3,12,MGP,NORD,FRAN,0.0000
20251230,3,12,MGP,NORD,COUP,-1920.0000
20251230,3,12,MGP,NORD,AUST,0.0000
20251230,3,12,MGP,CSUD,SUD,-791.2000
20251230,3,12,MGP,CSUD,SARD,-160.6000
20251230,3,12,MGP,CSUD,MONT,-432.0000
20251230,3,12,MGP,COUP,XFRA,-2903.0000
20251230,3,12,MGP,COUP,XAUS,165.0000
20251230,3,12,MGP,CNOR,NORD,-697.2000
20251230,3,12,MGP,CNOR,CSUD,106.6000
20251230,3,12,MGP,CNOR,CORS,0.0000
20251230,3,12,MGP,CALA,SUD,-765.4000
20251230,3,12,MGP,CALA,SICI,1011.6000
20251230,3,12,MGP,BSP,COUP,-818.0000
20251230,4,13,MGP,BSP,COUP,-680.0000
20251230,4,13,MGP,CALA,SICI,1065.3000
20251230,4,13,MGP,CALA,SUD,-812.5000
20251230,4,13,MGP,CNOR,CORS,0.0000
20251230,4,13,MGP,CNOR,CSUD,163.0000
20251230,4,13,MGP,CNOR,NORD,-743.3000
20251230,4,13,MGP,COUP,XAUS,165.0000
20251230,4,13,MGP,COUP,XFRA,-2864.0000
20251230,4,13,MGP,CSUD,MONT,-460.0000
20251230,4,13,MGP,CSUD,SARD,-163.0000
20251230,4,13,MGP,CSUD,SUD,-723.2000
20251230,4,13,MGP,NORD,AUST,0.0000
20251230,4,13,MGP,NORD,COUP,-2019.0000
20251230,4,13,MGP,NORD,FRAN,0.0000
20251230,4,13,MGP,NORD,SLOV,0.0000
20251230,4,13,MGP,NORD,SVIZ,-857.0000
20251230,4,13,MGP,SARD,COAC,93.0000
20251230,4,13,MGP,SARD,CORS,40.0000
20251230,4,13,MGP,SICI,MALT,82.0000
20251230,4,13,MGP,SUD,XGRE,-500.0000
20251230,4,13,MGP,SUD,GREC,0.0000
20251230,4,14,MGP,SUD,GREC,0.0000
20251230,4,14,MGP,SUD,XGRE,-500.0000
20251230,4,14,MGP,SICI,MALT,104.0000
20251230,4,14,MGP,SARD,CORS,40.0000
20251230,4,14,MGP,SARD,COAC,93.0000
20251230,4,14,MGP,NORD,SVIZ,-857.0000
20251230,4,14,MGP,NORD,SLOV,0.0000
20251230,4,14,MGP,NORD,FRAN,0.0000
20251230,4,14,MGP,NORD,COUP,-2019.0000
20251230,4,14,MGP,NORD,AUST,0.0000
20251230,4,14,MGP,CSUD,SUD,-703.0000
20251230,4,14,MGP,CSUD,SARD,-144.9000
20251230,4,14,MGP,CSUD,MONT,-460.0000
20251230,4,14,MGP,COUP,XFRA,-2864.0000
20251230,4,14,MGP,COUP,XAUS,165.0000
20251230,4,14,MGP,CNOR,NORD,-774.0000
